Android application is debugging.
02-10 21:27:59.965 I/art     (26521): Late-enabling -Xcheck:jni
02-10 21:28:02.076 D/Mono    (26521): Assembly Loader loaded assembly from location: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Acr.UserDialogs.dll'.
02-10 21:28:02.076 D/Mono    (26521): Config attempting to parse: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Acr.UserDialogs.dll.config'.
02-10 21:28:02.077 D/Mono    (26521): Config attempting to parse: '/usr/local/etc/mono/assemblies/Acr.UserDialogs/Acr.UserDialogs.config'.
02-10 21:28:02.078 D/Mono    (26521): Assembly Loader probing location: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/AndHUD.dll'.
02-10 21:28:02.090 D/Mono    (26521): Image addref AndHUD[0xb7bc1b78] -> /storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/AndHUD.dll[0xb7bc1048]: 2
02-10 21:28:02.091 D/Mono    (26521): Prepared to set up assembly 'AndHUD' (/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/AndHUD.dll)
02-10 21:28:02.091 D/Mono    (26521): Assembly AndHUD[0xb7bc1b78] added to domain RootDomain, ref_count=1
02-10 21:28:02.096 D/Mono    (26521): AOT: image '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/AndHUD.dll.so' not found: dlopen failed: library "/data/app/com.companyname.Bakkiefy-1/lib/arm/libaot-AndHUD.dll.so" not found
02-10 21:28:02.109 D/Mono    (26521): AOT: image '/usr/local/lib/mono/aot-cache/arm/AndHUD.dll.so' not found: dlopen failed: library "/data/app/com.companyname.Bakkiefy-1/lib/arm/libaot-AndHUD.dll.so" not found
02-10 21:28:02.111 D/Mono    (26521): Assembly Loader loaded assembly from location: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/AndHUD.dll'.
02-10 21:28:02.111 D/Mono    (26521): Config attempting to parse: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/AndHUD.dll.config'.
02-10 21:28:02.112 D/Mono    (26521): Config attempting to parse: '/usr/local/etc/mono/assemblies/AndHUD/AndHUD.config'.
02-10 21:28:02.113 D/Mono    (26521): Assembly Loader probing location: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Bakkiefy.dll'.
02-10 21:28:02.120 D/Mono    (26521): Image addref Bakkiefy[0xb7bc2a30] -> /storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Bakkiefy.dll[0xb7bc1cc0]: 2
02-10 21:28:02.122 D/Mono    (26521): Prepared to set up assembly 'Bakkiefy' (/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Bakkiefy.dll)
02-10 21:28:02.122 D/Mono    (26521): Assembly Bakkiefy[0xb7bc2a30] added to domain RootDomain, ref_count=1
02-10 21:28:02.129 D/Mono    (26521): AOT: image '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Bakkiefy.dll.so' not found: dlopen failed: library "/data/app/com.companyname.Bakkiefy-1/lib/arm/libaot-Bakkiefy.dll.so" not found
02-10 21:28:02.134 D/Mono    (26521): AOT: image '/usr/local/lib/mono/aot-cache/arm/Bakkiefy.dll.so' not found: dlopen failed: library "/data/app/com.companyname.Bakkiefy-1/lib/arm/libaot-Bakkiefy.dll.so" not found
02-10 21:28:02.141 D/Mono    (26521): Assembly Loader loaded assembly from location: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Bakkiefy.dll'.
02-10 21:28:02.141 D/Mono    (26521): Config attempting to parse: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Bakkiefy.dll.config'.
02-10 21:28:02.142 D/Mono    (26521): Config attempting to parse: '/usr/local/etc/mono/assemblies/Bakkiefy/Bakkiefy.config'.
02-10 21:28:02.142 D/Mono    (26521): Assembly Loader probing location: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/CommonServiceLocator.dll'.
02-10 21:28:02.147 D/Mono    (26521): Image addref CommonServiceLocator[0xb7bc4808] -> /storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/CommonServiceLocator.dll[0xb7bc3a70]: 2
02-10 21:28:02.147 D/Mono    (26521): Prepared to set up assembly 'CommonServiceLocator' (/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/CommonServiceLocator.dll)
02-10 21:28:02.147 D/Mono    (26521): Assembly CommonServiceLocator[0xb7bc4808] added to domain RootDomain, ref_count=1
02-10 21:28:02.152 D/Mono    (26521): AOT: image '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/CommonServiceLocator.dll.so' not found: dlopen failed: library "/data/app/com.companyname.Bakkiefy-1/lib/arm/libaot-CommonServiceLocator.dll.so" not found
02-10 21:28:02.161 D/Mono    (26521): AOT: image '/usr/local/lib/mono/aot-cache/arm/CommonServiceLocator.dll.so' not found: dlopen failed: library "/data/app/com.companyname.Bakkiefy-1/lib/arm/libaot-CommonServiceLocator.dll.so" not found
02-10 21:28:02.165 D/Mono    (26521): Assembly Loader loaded assembly from location: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/CommonServiceLocator.dll'.
02-10 21:28:02.165 D/Mono    (26521): Config attempting to parse: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/CommonServiceLocator.dll.config'.
02-10 21:28:02.167 D/Mono    (26521): Config attempting to parse: '/usr/local/etc/mono/assemblies/CommonServiceLocator/CommonServiceLocator.config'.
02-10 21:28:02.167 D/Mono    (26521): Assembly Loader probing location: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Flurl.dll'.
02-10 21:28:02.178 D/Mono    (26521): Image addref Flurl[0xb7bc6580] -> /storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Flurl.dll[0xb7bc57c0]: 2
02-10 21:28:02.178 D/Mono    (26521): Prepared to set up assembly 'Flurl' (/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Flurl.dll)
02-10 21:28:02.178 D/Mono    (26521): Assembly Flurl[0xb7bc6580] added to domain RootDomain, ref_count=1
02-10 21:28:02.183 D/Mono    (26521): AOT: image '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Flurl.dll.so' not found: dlopen failed: library "/data/app/com.companyname.Bakkiefy-1/lib/arm/libaot-Flurl.dll.so" not found
02-10 21:28:02.187 D/Mono    (26521): AOT: image '/usr/local/lib/mono/aot-cache/arm/Flurl.dll.so' not found: dlopen failed: library "/data/app/com.companyname.Bakkiefy-1/lib/arm/libaot-Flurl.dll.so" not found
02-10 21:28:02.190 D/Mono    (26521): Assembly Loader loaded assembly from location: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Flurl.dll'.
02-10 21:28:02.191 D/Mono    (26521): Config attempting to parse: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Flurl.dll.config'.
02-10 21:28:02.191 D/Mono    (26521): Config attempting to parse: '/usr/local/etc/mono/assemblies/Flurl/Flurl.config'.
02-10 21:28:02.192 D/Mono    (26521): Assembly Loader probing location: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Flurl.Http.dll'.
02-10 21:28:02.197 D/Mono    (26521): Image addref Flurl.Http[0xb7bc7458] -> /storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Flurl.Http.dll[0xb7bc66f8]: 2
02-10 21:28:02.197 D/Mono    (26521): Prepared to set up assembly 'Flurl.Http' (/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Flurl.Http.dll)
02-10 21:28:02.197 D/Mono    (26521): Assembly Flurl.Http[0xb7bc7458] added to domain RootDomain, ref_count=1
02-10 21:28:02.202 D/Mono    (26521): AOT: image '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Flurl.Http.dll.so' not found: dlopen failed: library "/data/app/com.companyname.Bakkiefy-1/lib/arm/libaot-Flurl.Http.dll.so" not found
02-10 21:28:02.211 D/Mono    (26521): AOT: image '/usr/local/lib/mono/aot-cache/arm/Flurl.Http.dll.so' not found: dlopen failed: library "/data/app/com.companyname.Bakkiefy-1/lib/arm/libaot-Flurl.Http.dll.so" not found
02-10 21:28:02.213 D/Mono    (26521): Assembly Loader loaded assembly from location: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Flurl.Http.dll'.
02-10 21:28:02.213 D/Mono    (26521): Config attempting to parse: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Flurl.Http.dll.config'.
02-10 21:28:02.213 D/Mono    (26521): Config attempting to parse: '/usr/local/etc/mono/assemblies/Flurl.Http/Flurl.Http.config'.
02-10 21:28:02.214 D/Mono    (26521): Assembly Loader probing location: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/FormsPlugin.Iconize.dll'.
02-10 21:28:02.218 D/Mono    (26521): Image addref FormsPlugin.Iconize[0xb7bc8338] -> /storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/FormsPlugin.Iconize.dll[0xb7bc75f0]: 2
02-10 21:28:02.218 D/Mono    (26521): Prepared to set up assembly 'FormsPlugin.Iconize' (/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/FormsPlugin.Iconize.dll)
02-10 21:28:02.218 D/Mono    (26521): Assembly FormsPlugin.Iconize[0xb7bc8338] added to domain RootDomain, ref_count=1
02-10 21:28:02.228 D/Mono    (26521): AOT: image '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/FormsPlugin.Iconize.dll.so' not found: dlopen failed: library "/data/app/com.companyname.Bakkiefy-1/lib/arm/libaot-FormsPlugin.Iconize.dll.so" not found
02-10 21:28:02.231 D/Mono    (26521): AOT: image '/usr/local/lib/mono/aot-cache/arm/FormsPlugin.Iconize.dll.so' not found: dlopen failed: library "/data/app/com.companyname.Bakkiefy-1/lib/arm/libaot-FormsPlugin.Iconize.dll.so" not found
02-10 21:28:02.234 D/Mono    (26521): Assembly Loader loaded assembly from location: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/FormsPlugin.Iconize.dll'.
02-10 21:28:02.234 D/Mono    (26521): Config attempting to parse: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/FormsPlugin.Iconize.dll.config'.
02-10 21:28:02.235 D/Mono    (26521): Config attempting to parse: '/usr/local/etc/mono/assemblies/FormsPlugin.Iconize/FormsPlugin.Iconize.config'.
02-10 21:28:02.235 D/Mono    (26521): Assembly Loader probing location: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/FormsPlugin.Iconize.Droid.dll'.
02-10 21:28:02.243 D/Mono    (26521): Image addref FormsPlugin.Iconize.Droid[0xb7bc9388] -> /storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/FormsPlugin.Iconize.Droid.dll[0xb7bc8630]: 2
02-10 21:28:02.243 D/Mono    (26521): Prepared to set up assembly 'FormsPlugin.Iconize.Droid' (/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/FormsPlugin.Iconize.Droid.dll)
02-10 21:28:02.243 D/Mono    (26521): Assembly FormsPlugin.Iconize.Droid[0xb7bc9388] added to domain RootDomain, ref_count=1
02-10 21:28:02.250 D/Mono    (26521): AOT: image '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/FormsPlugin.Iconize.Droid.dll.so' not found: dlopen failed: library "/data/app/com.companyname.Bakkiefy-1/lib/arm/libaot-FormsPlugin.Iconize.Droid.dll.so" not found
02-10 21:28:02.260 D/Mono    (26521): AOT: image '/usr/local/lib/mono/aot-cache/arm/FormsPlugin.Iconize.Droid.dll.so' not found: dlopen failed: library "/data/app/com.companyname.Bakkiefy-1/lib/arm/libaot-FormsPlugin.Iconize.Droid.dll.so" not found
02-10 21:28:02.266 D/Mono    (26521): Assembly Loader loaded assembly from location: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/FormsPlugin.Iconize.Droid.dll'.
02-10 21:28:02.266 D/Mono    (26521): Config attempting to parse: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/FormsPlugin.Iconize.Droid.dll.config'.
02-10 21:28:02.267 D/Mono    (26521): Config attempting to parse: '/usr/local/etc/mono/assemblies/FormsPlugin.Iconize.Droid/FormsPlugin.Iconize.Droid.config'.
02-10 21:28:02.271 D/Mono    (26521): Assembly Loader probing location: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/FormsViewGroup.dll'.
02-10 21:28:02.275 D/Mono    (26521): Image addref FormsViewGroup[0xb7bca398] -> /storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/FormsViewGroup.dll[0xb7bc95f8]: 2
02-10 21:28:02.275 D/Mono    (26521): Prepared to set up assembly 'FormsViewGroup' (/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/FormsViewGroup.dll)
02-10 21:28:02.275 D/Mono    (26521): Assembly FormsViewGroup[0xb7bca398] added to domain RootDomain, ref_count=1
02-10 21:28:02.282 D/Mono    (26521): AOT: image '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/FormsViewGroup.dll.so' not found: dlopen failed: library "/data/app/com.companyname.Bakkiefy-1/lib/arm/libaot-FormsViewGroup.dll.so" not found
02-10 21:28:02.285 D/Mono    (26521): AOT: image '/usr/local/lib/mono/aot-cache/arm/FormsViewGroup.dll.so' not found: dlopen failed: library "/data/app/com.companyname.Bakkiefy-1/lib/arm/libaot-FormsViewGroup.dll.so" not found
02-10 21:28:02.289 D/Mono    (26521): Assembly Loader loaded assembly from location: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/FormsViewGroup.dll'.
02-10 21:28:02.289 D/Mono    (26521): Config attempting to parse: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/FormsViewGroup.dll.config'.
02-10 21:28:02.289 D/Mono    (26521): Config attempting to parse: '/usr/local/etc/mono/assemblies/FormsViewGroup/FormsViewGroup.config'.
02-10 21:28:02.290 D/Mono    (26521): Assembly Loader probing location: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/ImageCircle.Forms.Plugin.Abstractions.dll'.
02-10 21:28:02.293 D/Mono    (26521): Image addref ImageCircle.Forms.Plugin.Abstractions[0xb7bcb420] -> /storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/ImageCircle.Forms.Plugin.Abstractions.dll[0xb7bca6c8]: 2
02-10 21:28:02.294 D/Mono    (26521): Prepared to set up assembly 'ImageCircle.Forms.Plugin.Abstractions' (/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/ImageCircle.Forms.Plugin.Abstractions.dll)
02-10 21:28:02.294 D/Mono    (26521): Assembly ImageCircle.Forms.Plugin.Abstractions[0xb7bcb420] added to domain RootDomain, ref_count=1
02-10 21:28:02.302 D/Mono    (26521): AOT: image '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/ImageCircle.Forms.Plugin.Abstractions.dll.so' not found: dlopen failed: library "/data/app/com.companyname.Bakkiefy-1/lib/arm/libaot-ImageCircle.Forms.Plugin.Abstractions.dll.so" not found
02-10 21:28:02.308 D/Mono    (26521): AOT: image '/usr/local/lib/mono/aot-cache/arm/ImageCircle.Forms.Plugin.Abstractions.dll.so' not found: dlopen failed: library "/data/app/com.companyname.Bakkiefy-1/lib/arm/libaot-ImageCircle.Forms.Plugin.Abstractions.dll.so" not found
02-10 21:28:02.312 D/Mono    (26521): Assembly Loader loaded assembly from location: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/ImageCircle.Forms.Plugin.Abstractions.dll'.
02-10 21:28:02.312 D/Mono    (26521): Config attempting to parse: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/ImageCircle.Forms.Plugin.Abstractions.dll.config'.
02-10 21:28:02.313 D/Mono    (26521): Config attempting to parse: '/usr/local/etc/mono/assemblies/ImageCircle.Forms.Plugin.Abstractions/ImageCircle.Forms.Plugin.Abstractions.config'.
02-10 21:28:02.314 D/Mono    (26521): Assembly Loader probing location: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/ImageCircle.Forms.Plugin.Android.dll'.
02-10 21:28:02.320 D/Mono    (26521): Image addref ImageCircle.Forms.Plugin.Android[0xb7bcd208] -> /storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/ImageCircle.Forms.Plugin.Android.dll[0xb7bcc4a8]: 2
02-10 21:28:02.320 D/Mono    (26521): Prepared to set up assembly 'ImageCircle.Forms.Plugin.Android' (/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/ImageCircle.Forms.Plugin.Android.dll)
02-10 21:28:02.321 D/Mono    (26521): Assembly ImageCircle.Forms.Plugin.Android[0xb7bcd208] added to domain RootDomain, ref_count=1
02-10 21:28:02.325 D/Mono    (26521): AOT: image '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/ImageCircle.Forms.Plugin.Android.dll.so' not found: dlopen failed: library "/data/app/com.companyname.Bakkiefy-1/lib/arm/libaot-ImageCircle.Forms.Plugin.Android.dll.so" not found
02-10 21:28:02.328 D/Mono    (26521): AOT: image '/usr/local/lib/mono/aot-cache/arm/ImageCircle.Forms.Plugin.Android.dll.so' not found: dlopen failed: library "/data/app/com.companyname.Bakkiefy-1/lib/arm/libaot-ImageCircle.Forms.Plugin.Android.dll.so" not found
02-10 21:28:02.333 D/Mono    (26521): Assembly Loader loaded assembly from location: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/ImageCircle.Forms.Plugin.Android.dll'.
02-10 21:28:02.333 D/Mono    (26521): Config attempting to parse: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/ImageCircle.Forms.Plugin.Android.dll.config'.
02-10 21:28:02.335 D/Mono    (26521): Config attempting to parse: '/usr/local/etc/mono/assemblies/ImageCircle.Forms.Plugin.Android/ImageCircle.Forms.Plugin.Android.config'.
02-10 21:28:02.336 D/Mono    (26521): Assembly Loader probing location: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Microsoft.Azure.Mobile.Analytics.Android.Bindings.dll'.
02-10 21:28:02.340 D/Mono    (26521): Image addref Microsoft.Azure.Mobile.Analytics.Android.Bindings[0xb7bce288] -> /storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Microsoft.Azure.Mobile.Analytics.Android.Bindings.dll[0xb7bcd570]: 2
02-10 21:28:02.340 D/Mono    (26521): Prepared to set up assembly 'Microsoft.Azure.Mobile.Analytics.Android.Bindings' (/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Microsoft.Azure.Mobile.Analytics.Android.Bindings.dll)
02-10 21:28:02.340 D/Mono    (26521): Assembly Microsoft.Azure.Mobile.Analytics.Android.Bindings[0xb7bce288] added to domain RootDomain, ref_count=1
02-10 21:28:02.348 D/Mono    (26521): AOT: image '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Microsoft.Azure.Mobile.Analytics.Android.Bindings.dll.so' not found: dlopen failed: library "/data/app/com.companyname.Bakkiefy-1/lib/arm/libaot-Microsoft.Azure.Mobile.Analytics.Android.Bindings.dll.so" not found
02-10 21:28:02.354 D/Mono    (26521): AOT: image '/usr/local/lib/mono/aot-cache/arm/Microsoft.Azure.Mobile.Analytics.Android.Bindings.dll.so' not found: dlopen failed: library "/data/app/com.companyname.Bakkiefy-1/lib/arm/libaot-Microsoft.Azure.Mobile.Analytics.Android.Bindings.dll.so" not found
02-10 21:28:02.355 D/Mono    (26521): Assembly Loader loaded assembly from location: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Microsoft.Azure.Mobile.Analytics.Android.Bindings.dll'.
02-10 21:28:02.355 D/Mono    (26521): Config attempting to parse: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Microsoft.Azure.Mobile.Analytics.Android.Bindings.dll.config'.
02-10 21:28:02.357 D/Mono    (26521): Config attempting to parse: '/usr/local/etc/mono/assemblies/Microsoft.Azure.Mobile.Analytics.Android.Bindings/Microsoft.Azure.Mobile.Analytics.Android.Bindings.config'.
02-10 21:28:02.358 D/Mono    (26521): Assembly Loader probing location: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Microsoft.Azure.Mobile.Analytics.dll'.
02-10 21:28:02.363 D/Mono    (26521): Image addref Microsoft.Azure.Mobile.Analytics[0xb7bcf118] -> /storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Microsoft.Azure.Mobile.Analytics.dll[0xb7bce3f8]: 2
02-10 21:28:02.363 D/Mono    (26521): Prepared to set up assembly 'Microsoft.Azure.Mobile.Analytics' (/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Microsoft.Azure.Mobile.Analytics.dll)
02-10 21:28:02.363 D/Mono    (26521): Assembly Microsoft.Azure.Mobile.Analytics[0xb7bcf118] added to domain RootDomain, ref_count=1
